pomucka,kraj,mnozstvi
Teploměry,CZ063,100
Teploměry,CZ064,241
Teploměry,CZ071,152
Teploměry,CZ072,75
Teploměry,CZ080,172
Termokamery,CZ010,47
Termokamery,CZ020,20
Termokamery,CZ031,20
Termokamery,CZ032,20
Termokamery,CZ041,20
Termokamery,CZ042,20
Termokamery,CZ051,20
Termokamery,CZ052,20
Termokamery,CZ053,20
Termokamery,CZ063,20
Termokamery,CZ064,20
Termokamery,CZ071,20
Termokamery,CZ072,20
Termokamery,CZ080,20
"Plicní ventilátory",CZ010,25
"Plicní ventilátory",CZ020,2
"Plicní ventilátory",CZ031,2
"Plicní ventilátory",CZ032,2
"Plicní ventilátory",CZ041,2
"Plicní ventilátory",CZ042,2
"Plicní ventilátory",CZ051,2
"Plicní ventilátory",CZ052,2
"Plicní ventilátory",CZ053,2
"Plicní ventilátory",CZ063,2
"Plicní ventilátory",CZ064,2
"Plicní ventilátory",CZ071,5
"Plicní ventilátory",CZ072,2
"Plicní ventilátory",CZ080,2
"Příslušenství k plicním ventilátorům",CZ010,22
"Příslušenství k plicním ventilátorům",CZ020,5
"Příslušenství k plicním ventilátorům",CZ031,5
"Příslušenství k plicním ventilátorům",CZ032,5
"Příslušenství k plicním ventilátorům",CZ041,5
"Příslušenství k plicním ventilátorům",CZ042,5
"Příslušenství k plicním ventilátorům",CZ051,5
"Příslušenství k plicním ventilátorům",CZ052,5
"Příslušenství k plicním ventilátorům",CZ053,5
"Příslušenství k plicním ventilátorům",CZ063,5
"Příslušenství k plicním ventilátorům",CZ064,5
"Příslušenství k plicním ventilátorům",CZ071,8
"Příslušenství k plicním ventilátorům",CZ072,5
"Příslušenství k plicním ventilátorům",CZ080,5
Ostatní,CZ010,8676
Ostatní,CZ020,0
Ostatní,CZ031,0
Ostatní,CZ032,0
Ostatní,CZ041,0
Ostatní,CZ042,0
Ostatní,CZ051,0
Ostatní,CZ052,0
Ostatní,CZ053,0
Ostatní,CZ063,0
Ostatní,CZ064,0
Ostatní,CZ071,0
Ostatní,CZ072,0
Ostatní,CZ080,0
